gene	P.PCA0001	P.PCA0002	P.PCA0003	P.PCA0005	P.PCA0007	P.PCA0008	P.PCA0009	P.PCA0010	P.PCA0011	P.PCA0012	P.PCA0013	P.PCA0014	P.PCA0015	P.PCA0017	P.PCA0018	P.PCA0020	P.PCA0021	P.PCA0022	P.PCA0024	P.PCA0025	P.PCA0026	P.PCA0027	P.PCA0028	P.PCA0029	P.PCA0030	P.PCA0031	P.PCA0032	P.PCA0033	P.PCA0034	P.PCA0035	P.PCA0036	P.PCA0037	P.PCA0038	P.PCA0040	P.PCA0050	P.PCA0052	P.PCA0054	P.PCA0056	P.PCA0057	P.PCA0058	P.PCA0062	P.PCA0063	P.PCA0064	P.PCA0065	P.PCA0066	P.PCA0068	P.PCA0073	P.PCA0074	P.PCA0075	P.PCA0077	P.PCA0080	P.PCA0081	P.PCA0082	P.PCA0083	P.PCA0084	P.PCA0086	P.PCA0087	P.PCA0089	P.PCA0090	P.PCA0092	P.PCA0093	P.PCA0094	P.PCA0095	P.PCA0096	P.PCA0097	P.PCA0099	P.PCA0100	P.PCA0101	P.PCA0103	P.PCA0104	P.PCA0105	P.PCA0107	P.PCA0108	P.PCA0109	P.PCA0110	P.PCA0111	P.PCA0112	P.PCA0113	P.PCA0114	P.PCA0115	P.PCA0117	P.PCA0118	P.PCA0119	P.PCA0120	P.PCA0122	P.PCA0123	P.PCA0124	P.PCA0125	P.PCA0126	P.PCA0127	P.PCA0128	P.PCA0129	P.PCA0130	P.PCA0132	P.PCA0133	P.PCA0134	P.PCA0135	P.PCA0136	P.PCA0141	P.PCA0144	P.PCA0145	P.PCA0146	P.PCA0147	P.PCA0149	P.PCA0150	P.PCA0151	P.PCA0155	P.PCA0156	P.PCA0157	P.PCA0158	P.PCA0159	P.PCA0160	P.PCA0161	P.PCA0162	P.PCA0163	P.PCA0164	P.PCA0165	P.PCA0167	P.PCA0168	P.PCA0169	P.PCA0170	P.PCA0171	P.PCA0172	P.PCA0173	P.PCA0174	P.PCA0175	P.PCA0176	P.PCA0178	P.PCA0179	P.PCA0180	P.PCA0181
ABRA	6.169092315	6.403343449	6.434444227	6.367706348	5.795950064	6.723309694	6.026939364	6.236558492	6.794891608	6.013288201	6.367465039	5.927327919	6.082217136	6.604914105	6.326397064	6.281755199	6.618690682	6.353091563	6.814086301	6.456723479	6.690428061	6.435240431	6.098224882	5.894854121	6.278727222	7.334080601	6.38799055	6.182898046	6.424223049	6.261463194	6.586004803	5.519516014	5.658972767	8.270467065	6.412561381	6.55324699	6.847490827	6.148317467	6.29276071	6.081694845	6.552350303	6.463364853	6.307152727	6.516203864	7.691224416	6.117312793	6.163279745	6.868993643	6.623699358	6.912208575	6.546522163	6.779767856	6.383432293	6.283187651	5.97403805	6.068269464	6.361601538	6.910914376	6.457839481	6.164758037	6.300168459	6.704941908	6.300938151	6.739370006	6.726739933	6.402104589	6.506537412	6.379710965	6.448456173	6.446912088	6.23753119	6.536138978	6.256803911	6.368604436	6.424466152	6.598536734	6.754988589	6.743552104	6.354165625	6.678314679	6.548574316	6.57145424	6.791283685	6.477520101	6.614907694	6.548755766	6.430649176	6.580108837	6.399867328	6.55469399	6.649172014	7.153710442	7.928913127	6.170625927	6.502019405	6.263457709	6.39108871	5.933562484	6.114541194	5.9795199	6.138006946	5.933562484	5.842158427	6.627977188	5.347496949	6.590882831	5.539569469	6.469350805	6.821175747	6.534469091	5.932155491	5.475100697	6.093017843	6.573073537	6.527610794	6.792100114	6.807907286	6.361601538	6.363089404	6.121626474	6.4947286	5.936585268	6.970252395	6.470098361	6.672505878	6.467742874	6.561947206	6.606447494	7.576451514	6.986681648	7.433692231
ABT1	7.958913303	7.930666062	7.773649786	8.463415484	7.864026864	7.734906352	9.061583838	8.362118409	7.768821537	8.005979199	8.293715404	8.460695178	8.395670141	8.03188313	8.60354793	8.770848278	8.55509034	8.232552823	7.878869354	8.046262467	7.57469597	7.721678028	9.007866696	8.039449961	8.326230152	7.730663435	8.193542238	7.38101407	8.371644871	8.658611301	7.839114879	8.238455075	8.611026518	6.953844017	7.758607965	7.629242433	7.530838903	8.030433665	7.40462727	8.182834269	8.224516887	8.376394259	8.315099594	8.004431054	8.118021488	7.942452694	8.599899812	7.522188331	8.032438771	8.001012557	8.563186071	8.003548223	8.466431247	8.279152613	7.961907889	8.490124798	8.672643989	7.755469341	7.976147047	8.768183851	8.512660028	7.493706017	7.959377185	8.004652455	7.689540159	8.438350257	7.494703076	8.199029673	8.63626224	8.537760521	8.197410209	8.468507112	8.607886317	8.327079242	7.783802927	8.278724711	8.801278064	7.880812415	8.512235504	8.47278539	7.917124319	8.141068547	7.79651551	7.973023498	7.498361993	7.860923551	7.798186244	7.635351749	7.860147277	8.475216201	8.443646391	7.763180375	7.183787308	8.239502048	8.437142736	8.085867056	7.83696675	7.237642687	8.135497471	7.730278372	8.18060294	8.149660037	8.304317622	8.127784363	8.320696964	7.295902791	7.806555989	8.268222187	8.088052894	7.725502141	8.248696509	7.802707428	8.079457814	8.066342778	7.20631479	7.187253632	7.942452694	7.883979233	8.288918273	8.158669814	8.178741008	8.226883197	7.909902688	8.045586943	7.507001055	7.329689681	7.9943655	7.6446409	7.425694728	7.762347699	8.805376106
ACTL6A	8.451457929	8.759900997	8.381131353	8.865700558	8.938418937	8.434645444	9.081629285	8.581498423	8.599899812	8.758793201	8.941366613	8.70112604	8.810838615	8.191325741	9.036138127	9.24186269	9.295767137	8.745030717	8.807388524	8.591623513	8.306770393	8.633597659	8.944883941	8.926013466	8.957786251	8.48237609	8.801721808	8.405738388	9.096062572	8.94410937	8.5867689	9.072856717	8.041148188	7.940033318	8.487140235	8.734655095	7.921782013	9.806658158	7.832158524	8.743255091	8.37846792	8.80062438	9.101630493	8.63197225	8.817674198	8.703893444	9.183537355	8.395458827	8.715273927	8.681672448	9.179921656	8.914364606	9.105709297	8.909376049	8.581962195	9.039877896	9.360062363	8.70159462	9.009052858	9.085532885	9.116704631	8.636028406	8.825435726	8.808242844	8.226677032	8.796046688	8.458023933	8.859000504	8.974114993	9.03951523	8.763302051	8.948365553	9.561663147	8.861659695	8.540520908	8.546950131	8.938418937	8.637107909	9.083115213	9.257884956	8.538256873	9.204787145	8.599438759	8.69765308	8.109412258	8.918466027	8.878713384	8.252372456	8.469915277	8.891095216	9.177229063	8.366855586	7.966009312	8.994962822	8.970247241	8.905905033	8.703432126	8.280111501	8.837693712	8.817206563	8.491716693	8.825868105	8.620081502	7.933271275	8.553441017	8.11782056	8.733090119	8.682104586	8.331859915	8.660239688	8.495024831	8.751866205	8.893984882	9.099939926	8.344415629	7.968889443	8.372372433	9.133305129	8.823326078	8.355633639	8.634057146	8.934454961	8.839782577	8.55232082	8.367961986	8.175143909	8.160464584	8.734193847	7.335712272	8.551632959	9.206213352
ACTN2	6.601356236	6.858409684	7.687119882	6.824720456	7.193054906	6.877420108	6.181668097	7.247076054	6.303872547	7.122554711	6.458552962	6.868769698	8.009469318	6.826157101	6.59741773	6.547028038	7.023782167	8.367761636	6.015771853	6.680046199	8.53454262	7.066698859	7.387269587	6.531588767	7.605252691	7.282409967	6.809783493	7.197964774	6.962440126	6.864693184	7.095843172	6.371208816	6.139336047	5.950974212	6.548109247	6.461310178	7.053587438	6.391765415	7.062701131	6.590229257	7.467523528	6.74180317	6.119317047	7.47927166	6.039540467	6.424000613	6.562837085	6.87322392	6.757522549	7.390357282	6.364354699	6.5630534	7.412401187	7.571721772	6.448233113	6.326878514	5.864246826	7.409524984	8.788034899	6.561018638	6.997532599	7.054191673	6.400355748	6.093535853	7.318237637	6.887588773	7.436630825	7.44657759	7.213501801	6.746741834	7.463695651	6.662597467	6.39244107	6.858628948	7.255108186	6.938817233	6.815604915	6.476611621	6.735631152	6.584183701	7.481221911	7.197096142	7.03960072	7.094756361	7.488881872	7.115502107	6.952638626	6.425942326	7.255701478	7.091063747	7.518010355	7.261580294	8.429793513	7.409155114	6.492642417	6.779976555	6.770250908	7.568860486	6.796432137	7.382435888	7.051565327	7.140346262	5.872230714	7.143318861	6.116518823	8.35087518	7.548582065	6.810595036	7.092158596	8.468274407	6.431101583	7.293890443	6.220507135	7.349086118	6.684500754	6.732401031	7.304455306	6.896461239	6.55324699	7.224763786	7.023134975	6.596021391	6.446912088	6.692447872	6.802951417	7.084325757	6.649614961	6.783555006	7.374972049	6.842644003	7.593332783
ADAMTS17	9.71706151	9.300063162	9.046629596	9.479769929	9.495347465	8.904036748	9.312664636	9.061100081	8.540520908	9.208839682	8.910250391	8.968233447	8.484210282	10.02958142	9.57575323	8.893331484	9.647654756	9.057076115	9.131870319	9.927080605	8.681672448	9.298302315	8.548392433	9.97558344	9.063228617	7.851019567	9.401876956	10.28263741	8.635387063	9.120792842	8.878713384	8.850216341	10.61257206	9.674789815	10.02255708	9.48725767	10.59941654	9.400135981	10.36297573	9.685702544	8.682330341	9.506771194	9.123418828	9.485696386	8.332077884	9.492066952	8.278500362	8.624437161	9.148437783	8.48466166	9.675435642	9.004639897	8.945103265	8.593396677	10.02751881	9.149906251	9.194620685	8.823861725	9.058019796	9.566985252	8.774783698	8.080347251	9.183804516	8.828327626	9.202339871	8.936772254	8.695287125	9.040557816	8.181927143	8.85092801	8.672424155	8.712398148	9.875982712	9.243582939	9.470245472	9.605963868	9.56997009	9.427506795	9.216204406	8.840733644	8.888233466	9.528392861	8.962184349	8.58219518	9.047310227	9.100922974	9.85035256	9.466714093	9.681188753	8.743019198	8.175581835	8.662347284	8.296217877	9.388096486	8.458696117	10.44148078	10.043441	10.00864095	9.942513611	9.656538032	9.436535912	9.581942837	9.66013022	9.410282882	10.75887636	9.909650629	10.47680059	9.091786308	8.773850565	9.16841896	9.641283562	10.60925455	9.99543218	8.561609335	10.11057384	10.48641219	7.423350332	9.273228349	9.837904816	10.39713424	9.27443683	9.641869678	9.065060449	10.58967566	9.324460874	9.943611809	8.754628008	8.966394567	10.31640413	9.337002382	8.744581827
ADAMTS19	5.159531032	4.333836475	4.56770716	4.674444008	4.350629137	3.621368917	5.107416104	4.897015647	4.220652592	3.854699823	4.740085114	4.704909542	5.263351158	4.362048216	5.392691076	4.465773281	5.024002291	4.903489889	5.817886161	4.554865819	4.623923096	5.213098853	4.95510711	4.623296869	5.308327539	4.495320744	4.377635742	4.659904287	4.630012761	4.737786274	4.119001649	5.370795127	4.71836937	4.538340537	5.141882651	4.784123898	5.023038613	5.306200894	5.123429253	5.720676436	5.404031158	5.270091986	4.808982294	4.987439152	4.979492735	6.183419535	6.382963162	4.184436246	4.727158021	5.460986158	5.316408709	4.965738671	4.590904183	4.146728409	5.315254957	5.000126047	5.409604859	3.851546351	5.328311194	5.221621539	5.272657784	3.721061906	4.483727657	4.763350801	4.860570734	5.400776589	4.082087666	5.31715712	5.070054825	4.037061007	4.663778944	4.219694583	4.717795916	5.567228383	3.621368917	4.997261718	5.709416446	4.07039398	4.435160783	3.979922697	4.54613206	4.244092158	4.499664749	4.766372152	4.362864826	4.252436529	4.427073876	4.181207999	4.618656577	4.294458502	4.353197641	4.101866065	4.059232556	4.448315766	4.476964934	5.243834831	5.092414472	4.211688143	5.28075993	4.866621916	4.945338793	4.149251192	4.895397966	4.574572594	5.583531529	5.634521787	4.3098046	5.063420829	4.815208943	4.973080773	4.956189986	5.171818544	5.59319479	5.106040494	4.537661664	5.77534117	4.122391555	4.671843135	5.108498737	5.089781976	4.91233417	4.537661664	5.08167434	5.362328977	5.22035423	4.724680646	5.035497344	4.833220898	4.186327862	5.011882204	4.48686622
ADAR	10.79420951	10.85243474	10.85744486	10.90616991	10.63117715	10.42409535	10.72437957	10.8392705	10.95879747	10.7990498	10.77000071	10.79530009	10.7127148	10.84581091	10.87310608	10.99288145	10.97359422	10.70562584	10.62082234	10.7689886	10.66385253	10.76002354	11.38639296	10.57299027	10.68272201	10.40574013	10.79420951	10.52599833	10.71479641	11.01801607	10.77671659	11.00651562	11.30111554	10.35906236	10.89023415	10.81099103	10.16877824	10.79317203	10.47838829	10.81339674	10.70562584	10.57336781	10.53961675	10.53240596	10.50776136	10.92792626	11.12752623	10.55203725	10.60759493	10.51460882	10.4790913	10.85359076	10.43184123	10.90778014	10.36864658	10.87424762	10.69392717	10.39119197	10.70051261	10.77795333	10.69848316	10.53736761	10.61098042	10.72865662	10.56554218	10.78144047	10.72963643	10.73076966	11.01108404	11.04730583	10.66187137	10.6162193	10.72758366	10.8392705	10.35287427	10.68789005	10.64030791	10.57796936	10.69799569	10.76320993	10.90223974	10.55371288	10.33733462	10.50229355	10.44721126	10.68372437	10.50155517	11.01801607	10.54393331	11.36980874	10.59237741	10.39255724	10.29748263	10.6162193	11.00789188	10.32524874	10.43377989	10.40776608	10.63024536	10.47985176	10.79770953	10.64429341	10.40171806	10.50926282	10.66885331	10.27513986	10.52599833	10.53079082	10.39048195	10.34862316	10.73505082	10.50377685	10.90089155	10.60023357	10.46494108	10.28889163	10.14681313	10.64327509	10.67974037	10.72212241	10.58703183	10.69442525	10.53652786	10.32872713	10.94402642	10.46128156	10.9047835	10.91477536	10.16976225	10.41843119	10.34922585
ADNP	10.46941818	10.29012028	9.936722432	10.43184123	10.04388547	10.22042232	9.875251274	10.33486484	9.8100044	10.01111155	10.29632374	10.22412095	9.925194057	10.23041255	10.22251644	10.21561265	10.40109438	9.949583552	10.33001935	10.24016146	9.870267029	10.10338878	10.18159854	10.17320003	10.49621019	9.752127086	10.24985417	10.12724318	10.17366964	10.38715317	10.39452154	10.02339237	10.1414577	10.26349141	10.25685281	10.12117855	9.671518324	10.46203686	9.952218307	10.51238734	10.09028887	10.36546948	10.34984697	10.17031036	10.21940307	10.22150519	10.26677403	10.46710017	10.59407537	10.03208771	10.41640294	10.1056444	10.1069555	9.999942278	10.41315052	10.37433349	10.11610406	9.898180927	10.44217907	10.94093697	10.25791534	9.937917346	10.2509091	10.36546948	10.31640413	10.48865051	10.31757817	10.11381368	10.23526173	10.29463156	10.24769663	10.11520035	10.38981384	10.32585353	9.98765682	10.18109868	10.11520035	10.30282116	10.11287531	10.53736761	9.806016378	10.24440148	10.37697311	9.859395668	9.98765682	10.21887954	10.48865051	10.21361875	10.10155695	10.32813398	10.23738994	9.927448526	9.576033412	10.10293998	10.18212572	10.15691638	10.22204431	10.07813992	10.3864364	10.17672848	10.10426012	10.01486087	10.08887398	10.32757634	10.11102875	9.685071832	10.35044644	10.33945586	10.40715887	10.33001935	9.736264	10.48057889	10.47092074	10.4759779	10.43184123	10.6162193	10.31218719	9.446178244	10.25142895	10.09118591	10.34478342	10.30922765	10.21408626	10.40429885	10.4576836	10.15593491	10.04388547	10.15931601	9.165077627	10.18629094	10.28501888
ADNP2	8.958024329	9.163409451	8.94156632	9.247085946	9.003936307	9.404445948	8.604239738	9.122179768	8.773850565	9.450985279	9.332701713	9.213017157	9.040557816	8.859683192	9.326293144	9.233368022	8.941366613	9.019136556	9.360600149	8.935380693	8.760123435	8.978263945	8.878938043	9.325730123	9.690512537	8.823127543	8.911866966	8.991883595	9.484087355	9.30232384	9.230750304	9.309896479	9.174163967	8.772700814	8.901029258	9.380102778	8.742781711	8.133069861	8.574188531	9.357080008	8.982080944	8.817674198	8.930509495	8.922807872	9.0869911	9.441808421	9.351010765	9.177951982	9.581680879	8.957324571	9.005989763	9.284152603	9.170513355	8.874335372	9.284402605	9.198570463	9.139134921	8.801057773	9.100922974	9.095579849	9.155775106	9.423637257	8.952827895	9.066225462	9.345945238	9.105965451	9.439173486	9.106693575	9.242812369	9.332701713	8.985799653	8.961028592	9.09033716	8.957324571	8.762381704	9.235298839	8.945103265	8.981768531	8.772927945	9.126057227	8.756830723	8.74208735	9.226635512	9.219019604	8.828752534	8.990079029	9.029999548	8.786268418	8.838578303	8.962184349	9.330157865	9.024998752	8.220042583	9.08578898	9.431704541	9.008607487	9.660408422	9.147258155	9.429456758	9.271243893	8.626936049	9.107427715	9.041244691	8.891095216	9.176268628	8.852717413	8.992599936	9.206213352	9.223369634	9.143520805	8.830176011	9.142559802	8.404088508	9.25531243	8.806277443	9.084097307	8.931687507	8.890850064	9.342401792	9.056179392	8.971429322	9.311662281	8.592305277	8.598051562	9.078131219	8.541200059	9.588740682	8.828327626	8.672643989	8.881033782	8.978263945
AEBP1	10.27117974	9.550120519	10.36546948	9.615036493	9.508183253	9.890789947	10.19828994	10.97679642	10.9047835	9.546068663	9.742377928	9.290967729	10.40574013	9.866001578	10.33369236	10.22776261	10.03043151	9.738195773	8.956001081	9.550120519	10.54393331	9.953611142	10.16232051	9.830137734	10.27848544	9.887860729	9.861108477	10.15309396	9.880942706	10.16486284	9.758209693	9.382222675	10.09659939	9.664009936	10.88612075	9.055529733	9.734058356	9.6523721	9.132310334	9.786167076	9.65544125	8.61127137	8.018887267	9.566985252	9.624665406	10.53484257	10.61536278	9.428601896	9.188444799	9.723979306	10.04260175	8.626049339	9.078131219	9.396019128	8.769972567	8.55509034	8.118267666	7.511751171	9.454641395	9.485438348	9.204520937	8.672643989	9.56587797	9.288732391	9.62102294	9.647654756	9.620107749	9.974799227	9.605963868	9.639691	9.404962691	8.65836121	8.20458575	9.172725516	8.752820586	10.01447839	9.715802212	8.95552992	8.853625128	8.217268498	9.590755704	7.528369847	9.041029771	8.761917351	9.403397418	9.044805456	8.186460708	10.16382539	9.008822769	8.31305139	9.310678654	8.460049493	10.13387243	9.695484472	9.662534506	8.739024189	8.72383733	10.33063175	9.652997315	9.262342092	9.727036644	8.620523579	10.04429583	9.002746801	9.589597672	9.790081553	8.43857851	7.820254572	8.377595334	8.545793512	10.89557769	9.644920526	8.875027533	8.962427837	8.854313616	9.613305507	9.228635011	8.898975064	9.05253835	9.49313648	9.990486744	9.27018498	9.604482745	9.638500231	9.531426136	8.730405894	11.233816	9.134332259	9.751463532	7.827134956	7.591263443
