ID	isSignature	score	pValue
ABRA	0	-3.634177	0.284000
ABT1	0	5.673010	0.076000
ACTL6A	0	6.767397	0.030000
ACTN2	0	-4.913117	0.140000
ADAMTS17	0	0.343412	0.941000
ADAMTS19	0	5.875689	0.065000
ADAR	0	3.538690	0.303000
ADNP	0	5.336972	0.098000
ADNP2	0	2.940345	0.405000
AEBP1	0	0.425358	0.929000
AEBP2	0	4.002833	0.231000
AES	0	2.416516	0.488000
AFF1	0	0.083156	0.984000
AFF2	0	-2.086232	0.545000
AFF3	0	-0.875933	0.831000
AFF4	0	1.111840	0.758000
AHCTF1	0	4.379195	0.193000
AHDC1	0	-4.713502	0.160000
AHR	0	2.666883	0.447000
AHRR	0	-4.562108	0.174000
AIM2	0	6.574949	0.037000
AIP	0	3.717614	0.269000
AIRE	0	-4.355801	0.194000
AKAP8	0	2.211267	0.516000
AKAP8L	0	3.292942	0.348000
AKNA	0	0.044215	0.989000
ALX1	0	-1.255237	0.724000
ALX3	0	-0.301290	0.945000
ALX4	0	-2.828255	0.420000
ANAPC2	0	-0.084022	0.984000
ANKRD1	0	1.804279	0.608000
ANKZF1	0	2.165564	0.525000
ANP32A	0	3.169868	0.359000
APBB3	0	0.340286	0.942000
APEX1	0	4.495302	0.180000
APTX	0	4.245878	0.208000
AR	0	0.666345	0.881000
ARGFX	0	4.040627	0.228000
ARID1A	0	2.152474	0.527000
ARID1B	0	-0.107740	0.982000
ARID2	0	3.970200	0.235000
ARID3A	0	-2.958198	0.400000
ARID3B	0	-3.120802	0.370000
ARID3C	0	-4.273126	0.206000
ARID4A	0	4.136133	0.217000
ARID4B	0	3.346692	0.339000
ARID5A	0	-4.713190	0.161000
ARID5B	0	4.713589	0.160000
ARNT	0	2.727776	0.435000
ARNT2	0	3.466101	0.317000
ARNTL	0	2.342005	0.500000
ARNTL2	0	6.323188	0.048000
ARX	0	-1.570443	0.664000
ASCL1	0	2.022868	0.556000
ASCL2	0	-3.138659	0.365000
ASCL3	0	-3.406428	0.331000
ASCL4	0	-2.614876	0.453000
ASH1L	0	1.931808	0.582000
ASH2L	0	2.216434	0.515000
ATAD2	1	6.343037	0.048000
ATF1	0	4.487197	0.181000
ATF2	0	2.318062	0.502000
ATF3	0	-2.870894	0.412000
ATF4	0	-3.538377	0.303000
ATF5	0	-0.991039	0.801000
ATF6	0	4.260411	0.207000
ATF6B	0	-3.130377	0.369000
ATF7	0	4.344030	0.195000
ATF7IP	0	3.810951	0.256000
ATMIN	0	2.204818	0.517000
ATN1	0	-1.308295	0.712000
ATOH1	0	-3.873397	0.249000
ATOH7	0	-4.413431	0.191000
ATOH8	0	-0.072129	0.985000
ATXN7	0	-0.510722	0.907000
ATXN7L3	0	0.295834	0.946000
BACH1	0	4.573819	0.174000
BACH2	0	-4.481364	0.182000
BAHD1	0	2.296265	0.504000
BANP	0	4.283806	0.205000
BARHL1	0	-4.137985	0.217000
BARHL2	0	-3.435399	0.324000
BARX1	0	-3.211641	0.358000
BARX2	0	3.850780	0.253000
BASP1	0	-2.488614	0.477000
BATF	0	-0.090732	0.983000
BATF2	0	-4.513433	0.179000
BATF3	0	-3.844881	0.254000
BAZ1A	0	6.118578	0.056000
BAZ1B	0	2.387983	0.494000
BAZ2A	0	3.600798	0.289000
BAZ2B	0	2.425069	0.486000
BBX	0	2.817828	0.422000
BCL10	0	4.521842	0.177000
BCL11A	0	0.133841	0.980000
BCL11B	0	-1.189195	0.740000
BCL3	0	0.937483	0.817000
BCL6	0	0.953905	0.812000
BCL6B	0	0.056335	0.987000
BCL9L	0	1.477787	0.677000
BCLAF1	0	3.284643	0.349000
BCOR	0	3.197515	0.358000
BDP1	0	0.865233	0.836000
BHLHA15	0	-4.956739	0.135000
BHLHE22	0	-3.098382	0.374000
BHLHE23	0	1.119894	0.756000
BHLHE40	0	0.477415	0.916000
BHLHE41	0	5.585778	0.082000
BMI1	0	4.148642	0.216000
BMP2	0	2.106011	0.540000
BNC1	0	-0.336521	0.942000
BNC2	0	0.980575	0.807000
BNIP3	0	-2.018092	0.557000
BOLA1	0	-4.598592	0.171000
BOLA3	0	-3.755463	0.266000
BPNT1	0	4.414323	0.190000
BPTF	0	3.772504	0.263000
BRCA1	0	9.831476	0.000000
BRCA2	0	8.689905	0.001000
BRD1	0	0.418135	0.930000
BRD3	0	1.455978	0.680000
BRD4	0	0.941160	0.816000
BRD7	0	5.006333	0.130000
BRD9	0	4.233271	0.208000
BRDT	0	-3.707181	0.270000
BRPF1	0	3.337695	0.341000
BSX	0	-4.293258	0.204000
BTG1	0	4.581211	0.173000
C10orf140	0	-2.863378	0.412000
C11orf9	0	-4.214248	0.211000
C11orf95	0	-4.038921	0.228000
C14orf106	0	5.855395	0.066000
C14orf43	0	-2.802267	0.426000
C16orf5	0	-5.271235	0.102000
C19orf2	0	3.083516	0.379000
C1D	0	-0.094966	0.983000
C20orf194	0	1.918445	0.584000
C21orf45	0	6.685892	0.032000
C5orf41	0	4.151107	0.216000
CALCOCO1	0	2.392599	0.493000
CAMTA1	0	4.254979	0.207000
CAMTA2	0	-1.854913	0.595000
CAND1	0	5.133500	0.120000
CARHSP1	0	-3.718339	0.268000
CARM1	0	2.145902	0.528000
CASC5	0	13.370586	0.000000
CASP8AP2	0	3.806568	0.257000
CASZ1	0	0.064439	0.986000
CBFB	0	4.445757	0.188000
CBLL1	0	1.676238	0.637000
CBX1	0	5.287311	0.100000
CBX2	0	-3.396731	0.333000
CBX3	0	4.319289	0.198000
CBX4	0	2.062055	0.549000
CBX5	0	4.002512	0.231000
CBX7	0	2.174891	0.523000
CBX8	0	2.125515	0.534000
CCDC71	0	-4.074899	0.224000
CCDC79	0	0.340257	0.942000
CCNE1	0	7.709041	0.005000
CCT4	0	4.080133	0.224000
CD36	0	5.226064	0.108000
CDC5L	0	4.245706	0.208000
CDK7	0	4.423658	0.189000
CDR2	0	3.582801	0.293000
CDX1	0	2.031271	0.555000
CDX2	0	-4.029674	0.229000
CDX4	0	-4.736705	0.159000
CEBPA	0	5.487477	0.089000
CEBPB	0	1.860355	0.594000
CEBPD	0	-0.930947	0.818000
CEBPE	0	-1.982652	0.564000
CEBPG	0	6.611635	0.034000
CEBPZ	0	4.580351	0.173000
CENPA	0	-3.189951	0.358000
CENPB	0	-3.964285	0.236000
CENPH	0	6.370609	0.046000
CENPI	0	8.718925	0.001000
CENPK	1	8.055103	0.003000
CENPN	0	0.229546	0.961000
CENPO	0	7.134829	0.018000
CENPP	0	4.153311	0.216000
CENPQ	0	5.993717	0.060000
CENPT	0	-0.348621	0.940000
CENPV	0	4.934334	0.137000
CHD1	0	3.284331	0.349000
CHD1L	0	5.286301	0.100000
CHD2	0	-0.635173	0.890000
CHD3	0	-2.002356	0.560000
CHD4	0	3.737206	0.267000
CHD5	0	-4.235168	0.208000
CHD6	0	3.292943	0.348000
CHD7	0	4.002156	0.231000
CHD8	0	4.804019	0.152000
CHD9	0	-0.300453	0.946000
CHRAC1	0	5.845413	0.067000
CIAO1	0	4.134902	0.217000
CIC	0	1.288766	0.715000
CIITA	0	-0.769644	0.852000
CIR1	0	5.051729	0.126000
CITED1	0	-0.742174	0.859000
CITED2	0	1.403217	0.693000
CIZ1	0	-2.373750	0.497000
CLOCK	0	3.876335	0.249000
CNOT1	0	4.023667	0.230000
CNOT3	0	-0.436760	0.927000
CNOT4	0	2.188391	0.519000
COPS2	0	3.771949	0.263000
COPS3	0	4.536175	0.175000
COPS4	0	4.325914	0.197000
COPS5	0	7.041110	0.023000
CPSF4	0	3.736411	0.267000
CPSF4L	0	-4.495802	0.180000
CPXCR1	0	2.401082	0.491000
CRAMP1L	0	-2.205148	0.517000
CREB1	0	4.410318	0.192000
CREB3	0	2.211673	0.516000
CREB3L1	0	-1.542157	0.668000
CREB3L2	0	2.978860	0.392000
CREB3L3	0	-4.533164	0.175000
CREB3L4	0	-0.065201	0.986000
CREB5	0	-4.446246	0.188000
CREBBP	0	2.127926	0.533000
CREBL2	0	-2.951082	0.403000
CREBZF	0	4.189513	0.214000
CREG1	0	4.509816	0.179000
CREM	0	-0.085820	0.984000
CRIP2	0	4.952801	0.136000
CRTC1	0	-3.389617	0.334000
CRX	0	-4.304800	0.201000
CRYM	0	-4.546226	0.175000
CSDA	0	1.912258	0.586000
CSDC2	0	-3.935455	0.240000
CSDE1	0	2.550919	0.471000
CSRP1	0	-0.680230	0.877000
CSRP2	0	-4.316659	0.199000
CSRP3	0	-4.420465	0.189000
CTCF	0	4.956470	0.135000
CTCFL	0	-3.407710	0.331000
CTNNB1	0	2.887141	0.409000
CUL1	0	3.692947	0.271000
CUL2	0	4.755293	0.157000
CUL3	0	3.202377	0.358000
CUL4A	0	3.732127	0.267000
CUL4B	0	4.162800	0.215000
CUL5	0	2.746417	0.432000
CUX1	0	0.044065	0.989000
CUX2	0	-0.434159	0.928000
CXXC1	0	-0.003581	0.999000
DACH1	0	-6.909967	0.026000
DACH2	0	-0.845085	0.838000
DBP	0	-2.775326	0.428000
DBX1	0	3.845920	0.254000
DBX2	0	-3.493756	0.312000
DCAF6	0	3.773840	0.263000
DCC	0	-3.647204	0.282000
DCP1A	0	3.775867	0.263000
DDIT3	0	4.437954	0.188000
DDX1	0	4.563785	0.174000
DDX5	0	2.560001	0.471000
DDX54	0	0.668480	0.881000
DEAF1	0	-0.641972	0.888000
DEK	0	2.604121	0.458000
DEPDC1	0	7.053673	0.022000
DEPDC1B	0	-0.825348	0.840000
DEPDC4	0	4.783398	0.155000
DEPDC5	0	4.505609	0.180000
DEPDC7	0	-3.194995	0.358000
DHX34	0	3.768077	0.263000
DHX57	0	4.697679	0.162000
DLX1	0	4.424569	0.189000
DLX2	0	5.139805	0.117000
DLX3	0	-4.389095	0.193000
DLX4	0	-4.495095	0.180000
DLX5	0	-1.418665	0.690000
DLX6	0	-3.531218	0.306000
DMAP1	0	-1.593774	0.660000
DMBX1	0	-4.465338	0.186000
DMC1	0	3.526429	0.307000
DMRT1	0	-0.423813	0.929000
DMRT2	0	-1.999342	0.560000
DMRT3	0	-2.249696	0.510000
DMRTA1	0	3.368363	0.337000
DMRTA2	0	-5.456080	0.090000
DMRTB1	0	-1.668740	0.639000
DMRTC2	0	-4.507030	0.180000
DMTF1	0	1.357626	0.704000
DNAJC1	0	5.094918	0.124000
DNAJC2	0	5.542335	0.086000
DNAJC21	0	4.693668	0.163000
DNMT3B	0	-4.290833	0.205000
DOT1L	0	3.888876	0.247000
DPF1	0	-3.919313	0.241000
DPF2	0	3.385294	0.335000
DPF3	0	-4.315100	0.200000
DPRX	0	0.763980	0.853000
DR1	0	4.354100	0.194000
DRAP1	0	2.524533	0.475000
DRGX	0	-4.785642	0.155000
DSP	0	3.826074	0.255000
DTX1	0	-4.667881	0.165000
DUS3L	0	3.418900	0.330000
DUSP12	0	6.503105	0.040000
DUXA	0	2.237620	0.511000
DVL1	0	0.304212	0.945000
DVL2	0	-0.104839	0.983000
DVL3	0	1.282016	0.716000
DYRK1B	0	-3.653500	0.281000
DZIP1	0	-0.985858	0.806000
DZIP1L	0	-3.669308	0.275000
E2F1	0	7.987024	0.004000
E2F2	0	-4.431902	0.189000
E2F3	0	5.694047	0.075000
E2F4	0	0.412001	0.932000
E2F5	0	6.676029	0.032000
E2F6	0	-2.974725	0.393000
E2F7	0	-0.842248	0.839000
E2F8	0	6.958299	0.024000
E4F1	0	2.989442	0.390000
EAF2	0	1.359729	0.704000
EBF1	0	1.724215	0.626000
EBF2	0	2.161223	0.526000
EBF3	0	-3.969714	0.235000
EBF4	0	0.864973	0.836000
EDF1	0	2.255197	0.509000
EEA1	0	5.423472	0.091000
EED	0	4.829012	0.150000
EGR1	0	-1.298879	0.713000
EGR2	0	-3.449546	0.320000
EGR3	0	0.542676	0.900000
EGR4	0	0.874055	0.832000
EHF	0	2.832626	0.420000
EIF3K	0	5.223880	0.108000
ELF1	0	2.277157	0.505000
ELF2	0	3.552410	0.301000
ELF3	0	3.710247	0.270000
ELF4	0	4.710225	0.161000
ELF5	0	6.895349	0.027000
ELK1	0	1.668724	0.639000
ELK3	0	4.334055	0.196000
ELK4	0	-6.509403	0.040000
EMX1	0	-3.111293	0.372000
EMX2	0	-3.292548	0.348000
EN1	0	-3.854334	0.253000
EN2	0	-1.012205	0.791000
ENO1	0	5.364648	0.095000
ENY2	0	7.086002	0.021000
EOMES	0	-3.791785	0.259000
EP300	0	3.003676	0.388000
EP400	0	2.215715	0.515000
EPAS1	0	1.379523	0.699000
ERF	0	2.714039	0.439000
ERG	0	1.851269	0.596000
ESR1	0	-3.657867	0.278000
ESR2	0	4.577811	0.173000
ESRRA	0	-1.344574	0.706000
ESRRB	0	-3.561106	0.298000
ESRRG	0	-5.524598	0.087000
ESX1	0	4.008283	0.230000
ETS1	0	1.891396	0.591000
ETS2	0	1.225881	0.734000
ETV1	0	3.411388	0.331000
ETV2	0	-5.024885	0.127000
ETV3	0	5.634657	0.080000
ETV3L	0	-0.413484	0.931000
ETV4	0	4.329239	0.197000
ETV5	0	3.440854	0.323000
ETV6	0	3.207719	0.358000
ETV7	0	-1.226842	0.734000
EVX1	0	-3.790031	0.260000
EVX2	0	-3.961595	0.236000
EWSR1	0	-2.458830	0.483000
EXOC2	0	4.517561	0.177000
EZH1	0	1.358917	0.704000
EZH2	0	7.867343	0.004000
FAM170A	0	-4.541196	0.175000
FAM171B	0	4.967376	0.135000
FARSA	0	1.254385	0.724000
FARSB	0	4.280136	0.205000
FBN1	0	1.913558	0.585000
FBXO41	0	-3.992937	0.232000
FERD3L	0	-4.587501	0.172000
FEV	0	-1.950178	0.575000
FEZF1	0	-3.551426	0.301000
FEZF2	0	-3.694666	0.271000
FGD1	0	3.185501	0.358000
FGF2	0	2.512333	0.475000
FHL2	0	0.495491	0.911000
FHL5	0	3.683729	0.274000
FIGLA	0	2.121771	0.534000
FIZ1	0	-4.780699	0.155000
FLI1	0	3.269848	0.349000
FMNL2	0	2.690880	0.442000
FOS	0	0.221155	0.963000
FOSB	0	-1.481728	0.676000
FOSL1	0	0.420298	0.930000
FOSL2	0	-1.640723	0.642000
FOXA1	0	-1.240916	0.729000
FOXA2	0	-4.710787	0.161000
FOXA3	0	-2.547658	0.472000
FOXB1	0	-2.236491	0.511000
FOXB2	0	-3.700562	0.270000
FOXC1	0	-1.749161	0.623000
FOXC2	0	-4.274200	0.206000
FOXD2	0	-1.108932	0.759000
FOXD3	0	0.491248	0.912000
FOXD4	0	-4.014758	0.230000
FOXE1	0	3.351242	0.339000
FOXE3	0	-2.111212	0.540000
